,user,text,favorite_count,retweet_count,created_at
171,elonmusk,@Tesla Definitely one of the best parties ever in Palo Alto,11537,650,2023-02-23 02:29:23+00:00
172,elonmusk,@BillyM2k @triketora (hoping they stay there🤞),6805,375,2023-02-23 00:04:15+00:00
173,elonmusk,@MuskUniversity Had a major influence on me,10412,510,2023-02-22 20:29:16+00:00
174,elonmusk,@Kristennetten Doing all that masonry for free was not a sustainable business model!,2504,184,2023-02-22 18:23:00+00:00
175,elonmusk,"@realchrisrufo The would be a major restructuring of the Federal government, which requires an act of Congress. An executive order is not sufficient.",19252,1946,2023-02-22 18:19:34+00:00
176,elonmusk,@TrungTPhan 💯,1362,76,2023-02-22 18:15:41+00:00
177,elonmusk,@TrungTPhan 🤣,2403,114,2023-02-22 18:14:32+00:00
178,elonmusk,"@Gfilche @Tesla In a rapidly changing technology landscape, conventional wisdom fails https://t.co/91tkzAT21f",11282,983,2023-02-22 18:12:41+00:00
179,elonmusk,@zachware 🔥,2824,137,2023-02-22 18:02:52+00:00
180,elonmusk,@JohnArnoldFndtn My thought exactly 🤣,3253,166,2023-02-22 17:37:04+00:00
181,elonmusk,@jordanbpeterson @POTUS Nobody is pushing this war more than Nuland,86391,10341,2023-02-22 17:09:09+00:00
182,elonmusk,https://t.co/1512DMq10n,593017,45460,2023-02-22 17:04:13+00:00
183,elonmusk,@ElbridgeColby Of great strategic significance,6468,411,2023-02-22 16:49:09+00:00
184,elonmusk,@ScottAdamsSays 🤣🤣,8154,428,2023-02-22 16:44:14+00:00
185,elonmusk,@DoniTheDon_ 🤣,7997,312,2023-02-22 09:49:34+00:00
